group,n,approval_rate,mean_predicted_default,observed_default_rate,good_applicants,good_approval_rate,defaulted_applicants,bad_approval_rate,adverse_impact_ratio,below_four_fifths
302xx,665,0.9533834586466166,0.21032826206838212,0.20150375939849624,531.0,0.9792843691148776,134.0,0.8507462686567164,0.9715184700882642,False
113xx,1080,0.9537037037037037,0.20724230489892576,0.20092592592592592,863.0,0.9721900347624566,217.0,0.880184331797235,0.9718448067632851,False
112xx,2056,0.9537937743190662,0.2114093901694418,0.2169260700389105,1610.0,0.9745341614906833,446.0,0.8789237668161435,0.9719365906783963,False
917xx,1502,0.9540612516644474,0.21124717507262178,0.2070572569906791,1191.0,0.9706129303106633,311.0,0.8906752411575563,0.9722091559080647,False
919xx,504,0.9543650793650794,0.21288094796986615,0.22023809523809523,393.0,0.9694656488549618,111.0,0.9009009009009009,0.9725187629399586,False
334xx,1103,0.9546690843155031,0.20490828239405068,0.19764279238440616,885.0,0.976271186440678,218.0,0.8669724770642202,0.9728285505932437,False
432xx,509,0.9548133595284872,0.19849019431549914,0.1944990176817289,410.0,0.9878048780487805,99.0,0.8181818181818182,0.9729755701716922,False
322xx,642,0.9548286604361371,0.20686531097493446,0.22585669781931464,497.0,0.9859154929577465,145.0,0.8482758620689655,0.9729911621292159,False
890xx,758,0.9551451187335093,0.21061563600498537,0.20712401055408972,601.0,0.9750415973377704,157.0,0.8789808917197452,0.9733136400137663,False
370xx,513,0.9551656920077972,0.2142660423250032,0.15594541910331383,433.0,0.9722863741339491,80.0,0.8625,0.9733346046275108,False
282xx,675,0.9555555555555556,0.2064563718375888,0.2088888888888889,534.0,0.9775280898876404,141.0,0.8723404255319149,0.9737318840579711,False
770xx,1528,0.956151832460733,0.2011781568934915,0.21596858638743455,1198.0,0.9741235392320534,330.0,0.8909090909090909,0.9743395031868883,False
906xx,593,0.9561551433389545,0.20317346642306353,0.2057335581787521,471.0,0.9830148619957537,122.0,0.8524590163934426,0.9743428770437715,False
953xx,756,0.9563492063492064,0.20486135713617376,0.18253968253968253,618.0,0.9773462783171522,138.0,0.8623188405797102,0.9745406314699794,False
462xx,509,0.9567779960707269,0.2113680837635455,0.2180746561886051,398.0,0.9698492462311558,111.0,0.9099099099099099,0.9749775775177245,False
925xx,1188,0.9570707070707071,0.20738597280506685,0.18771043771043772,965.0,0.9740932642487047,223.0,0.8834080717488789,0.9752758563899869,False
328xx,676,0.9571005917159763,0.21087047171801115,0.22928994082840237,521.0,0.9750479846449136,155.0,0.896774193548387,0.9753063094931824,False
480xx,840,0.9571428571428572,0.20379872609516952,0.20238095238095238,670.0,0.9791044776119403,170.0,0.8705882352941177,0.9753493788819877,False
923xx,887,0.9571589627959414,0.214116381432688,0.21307779030439683,698.0,0.9813753581661891,189.0,0.8677248677248677,0.9753657908926033,False
951xx,867,0.9573241061130334,0.19881153121833112,0.2041522491349481,690.0,0.9840579710144928,177.0,0.8531073446327684,0.9755340755227923,False
802xx,943,0.9575821845174973,0.19927996185781163,0.14422057264050903,807.0,0.9739776951672863,136.0,0.8602941176470589,0.975797063027341,False
900xx,1545,0.9585760517799353,0.19943167593760447,0.19676375404530744,1241.0,0.9790491539081386,304.0,0.875,0.9768098353735755,False
921xx,1242,0.9589371980676329,0.196778347354294,0.22061191626409019,968.0,0.9793388429752066,274.0,0.8868613138686131,0.9771778512917455,False
441xx,711,0.9592123769338959,0.1984544495279742,0.19831223628691982,570.0,0.9719298245614035,141.0,0.9078014184397163,0.9774582645386168,False
